North Carolina,Wilmington city,106476
North Carolina,Winston-Salem city,229617
North Dakota,Bismarck city,61272
North Dakota,Fargo city,105549
North Dakota,Grand Forks city,52838
Ohio,Akron city,199110
Ohio,Canton city,73007
Ohio,Cincinnati city,296943
Ohio,Cleveland city,396815
Ohio,Columbus city,787033
Ohio,Dayton city,141527
Ohio,Elyria city,54533
Ohio,Hamilton city,62477
Ohio,Kettering city,56163
Ohio,Lakewood city,52131
Ohio,Lorain city,64097
Ohio,Newark city,47573
Ohio,Parma city,81601
Ohio,Springfield city,60608
Ohio,Toledo city,287208
Ohio,Youngstown city,66982
Oklahoma,Broken Arrow city,98850
Oklahoma,Edmond city,81405
Oklahoma,Enid city,49379
Oklahoma,Lawton city,96867
Oklahoma,Midwest City city,54371
Oklahoma,Moore city,55081
Oklahoma,Norman city,110925
Oklahoma,Oklahoma City city,579999
Oklahoma,Stillwater city,45688
Oklahoma,Tulsa city,391906
Oregon,Albany city,50158
Oregon,Beaverton city,89803
Oregon,Bend city,76639
Oregon,Corvallis city,54462
Oregon,Eugene city,156185
Oregon,Gresham city,105594
Oregon,Hillsboro city,91611
Oregon,Medford city,74907
Oregon,Portland city,583776
Oregon,Salem city,154637
Oregon,Springfield city,59403
Oregon,Tigard city,48035
Pennsylvania,Allentown city,118032
Pennsylvania,Bethlehem city,74982
Pennsylvania,Erie city,101786
Pennsylvania,Lancaster city,59322
Pennsylvania,Philadelphia city,1526006
Pennsylvania,Pittsburgh city,305704
Pennsylvania,Reading city,88082
Pennsylvania,Scranton city,76089
Rhode Island,Cranston city,80387
Rhode Island,Pawtucket city,71148
Rhode Island,Providence city,178042
Rhode Island,Warwick city,82672
South Carolina,Charleston city,120083
South Carolina,Columbia city,129272
South Carolina,Greenville city,58409
South Carolina,Mount Pleasant town,67843
South Carolina,North Charleston city,97471
South Carolina,Rock Hill city,66154
South Carolina,Summerville town,43392
South Dakota,Rapid City city,67956
South Dakota,Sioux Falls city,153888
Tennessee,Bartlett city,54613
Tennessee,Chattanooga city,167674
Tennessee,Clarksville city,132929
Tennessee,Collierville town,43965
Tennessee,Franklin city,62487
Tennessee,Hendersonville city,51372
Tennessee,Jackson city,65211
Tennessee,Johnson City city,63152
Tennessee,Kingsport city,48205
Tennessee,Knoxville city,178874
Tennessee,Memphis city,646889
Tennessee,Murfreesboro city,108755
Tennessee,Nashville-Davidson metropolitan government (balance),601222
Tennessee,Smyrna town,39974
Texas,Abilene city,117063
Texas,Allen city,84246
Texas,Amarillo city,190695
Texas,Arlington city,365438
Texas,Austin city,790390
Texas,Baytown city,71802
Texas,Beaumont city,118296
Texas,Brownsville city,175023
Texas,Bryan city,76201
Texas,Carrollton city,119097
Texas,Cedar Park city,48937
Texas,College Station city,93857
Texas,Conroe city,56207
Texas,Corpus Christi city,305215
Texas,Dallas city,1197816
Texas,Denton city,113383
Texas,DeSoto city,49047
Texas,Edinburg city,77100
Texas,El Paso city,649121
Texas,Euless city,51277
Texas,Flower Mound town,64669
Texas,Fort Worth city,741206
Texas,Frisco city,116989
Texas,Galveston city,47743
Texas,Garland city,226876
Texas,Georgetown city,47400
Texas,Grand Prairie city,175396
Texas,Grapevine city,46334
Texas,Harlingen city,64849
Texas,Houston city,2099451
Texas,Irving city,216290
Texas,Killeen city,127921
Texas,Laredo city,236091
Texas,League City city,83560
Texas,Leander city,26521
Texas,Lewisville city,95290
Texas,Little Elm city,25898
Texas,Longview city,80455
Texas,Lubbock city,229573
Texas,Mansfield city,56368
Texas,McAllen city,129877
Texas,McKinney city,131117
Texas,Mesquite city,139824
Texas,Midland city,111147
Texas,Mission city,77058
Texas,Missouri City city,67358
Texas,New Braunfels city,57740
Texas,North Richland Hills city,63343
Texas,Odessa city,99940
Texas,Pasadena city,149043
Texas,Pearland city,91252
Texas,Pflugerville city,46936
Texas,Pharr city,70400
Texas,Plano city,259841
Texas,Port Arthur city,53818
Texas,Richardson city,99223
Texas,Round Rock city,99887
Texas,Rowlett city,56199
Texas,San Angelo city,93200
Texas,San Antonio city,1327407
Texas,San Marcos city,44894
Texas,Sugar Land city,78817
Texas,Temple city,66102
Texas,Texas City city,45099
Texas,Tyler city,96900
Texas,Victoria city,62592
Texas,Waco city,124805
Texas,Wichita Falls city,104553
Texas,Wylie city,41427
Utah,Herriman city,21785
Utah,Layton city,67311
Utah,Lehi city,47407
Utah,Logan city,48174
Utah,Millcreek city,(X)
Utah,Ogden city,82825
Utah,Orem city,88328
Utah,Provo city,112488
Utah,Salt Lake City city,186440
Utah,Sandy city,87461
Utah,South Jordan city,50418
Utah,St. George city,72897
Utah,Taylorsville city,58652
Utah,West Jordan city,103712
Utah,West Valley City city,129480
Virginia,Alexandria city,139966
Virginia,Chesapeake city,222209
Virginia,Hampton city,137436
Virginia,Harrisonburg city,48914
Virginia,Leesburg town,42616
Virginia,Lynchburg city,75568
Virginia,Newport News city,180719
Virginia,Norfolk city,242803
Virginia,Portsmouth city,95535
Virginia,Richmond city,204214
Virginia,Roanoke city,97032
Virginia,Suffolk city,84585
Virginia,Virginia Beach city,437994
Washington,Auburn city,70180
Washington,Bellevue city,122363
Washington,Bellingham city,80885
Washington,Burien city,33313
Washington,Everett city,103019
Washington,Federal Way city,89306
Washington,Kennewick city,73917
Washington,Kent city,92411
Washington,Kirkland city,48787
Washington,Lacey city,42393
Washington,Lakewood city,58163
Washington,Marysville city,60020
Washington,Olympia city,46478
Washington,Pasco city,59781
Washington,Redmond city,54144
Washington,Renton city,90927
Washington,Richland city,48058
Washington,Sammamish city,45780
Washington,Seattle city,608660
